ADGroup,UserID
@FP ITB Staff,MBahn
@DLG ENT SMS Helpdesk,MBahn
@DLG GenTax IVPN Users,MBahn
G-ITB-USERS,MBahn
@DLG ITB Users,MBahn
@DLG SW Ent Winzip,MBahn
@DLG SW ENT HP ITSMA,MBahn
@DLG DMS RemoteDesktop,MBahn
@DLG ITB DPD Users,MBahn
ENT SMS Help Desk,MBahn
@FP ITB ISMDLibPROJ,MBahn
@DLG SW ENT Office 2010,MBahn
@FP DMS Project Team,MBahn
@DLG ITB EDD Share,MBahn
DLG ITB SP ISD CSS,MBahn
DLG ENT OWA MFA Users,MBahn
Domain Users,MBahn-22
@DLG DMS PD Application Support,MBahn-22
@FP ITB W2000,MBahn-22
@DLG DMS PP JB ADM,MBahn-22
@DLG DMS Join Workstation,MBahn-22
@DLG DMS Join Server,MBahn-22
@DLG DMS IndependentlyManaged,MBahn-22
@DLG DMS PP DMG ICAP SUP,MBahn-22
@DLG DMS PD TMS Adm,MBahn-22
@DLG DMS OU Admin,MBahn-22
@DLG DMS PD OPERATIONS SUPPORT,MBahn-22
@DLG DMS PD IMG ICAP Sup,MBahn-22
@DLG SW DMS PD ITB ASG,MBahn-22
@DLG ITB EASE FSR Group,MBahn-22
DLG DMS VMWare Server Admin,MBahn-22
DLG ITB Desktop Admin,MBahn-22
DLG ENT Cert Admins DMS,MBahn-22
DLG ENT PWM,MBahn-22
@DLG DMS PD DMG ICAP Sup,MBahn-22
@DLG ITB EDD Share,MBahn-22
@FP DMS Project Team,MBahn-22
@DLG Util Srv Adm,MBahn-22
@DLG SW ENT GenTax,MBahn-22
G-EDD-USERS,MBahn-22
@FP ITB ISD Staff,MBahn-22
@DLG ENT Developer Admin,MBahn-22
@FP ITB ISD Users,MBahn-22
@FP ITB Staff,MBahn-22
@DLG ENT ServerSupport Admins,MBahn-22
@DLG ENT SMS Helpdesk,MBahn-22
DLG ENT ARS DMS Support,MBahn-22
@DLG ENT Desktop Admin,MBahn-22
@DLG ITB Users,MBahn-22
@DLG DMS Desktop Admin,MBahn-22
@DLG SW Ent Winzip,MBahn-22
@DLG SW ENT HP ITSMA,MBahn-22
@DLG DMS RemoteDesktop,MBahn-22
@DLG ITB DPD Users,MBahn-22
ENT SMS Help Desk,MBahn-22
@FP ITB ISMDLibPROJ,MBahn-22
G-ITB-USERS,MBahn-22
DLG DMS Desktop Admins,MBahn-22
Domain Users,DWomack
DLG SW ENT Visio 2013,DWomack
Utilities,DWomack
DLG ADM MBX DIMC DMS Image Cash Letter,DWomack
ITB TEAM Staff,DWomack
DLG ENT TFA Safenet Multi-Token User,DWomack
DLG DSMS GTO,DWomack
DLG ITB SP PSD CSS,DWomack
DLG ENT PWM,DWomack
@DLG DMS PD IMG ICAP Sup,DWomack
@DLG SW ENT InfoImage,DWomack
DLG ENT OTP VPN Users,DWomack
@DLG DMS SMS Reports PD Application Support,DWomack
@FP DMS L03DataGTO01 Server Share,DWomack
@DLG ITB MBX DMS Server TEAMSERV,DWomack
@DLG DMS SMS Helpdesk,DWomack
@DLG DMS PD DMG WM Scan,DWomack
@DLG ITB TEAM IIF,DWomack
@DLG DMS User,DWomack
DLG ENT Cert Alerts DMS,DWomack
DLG ENT VMWare Goethe LogInsight View,DWomack
DLG ENT TalentMgtSystem User,DWomack
DLG ENT VPN SmartCard Only,DWomack
DLG ENT Vmware VDI PII Pool Access,DWomack
DLG ENT Vmware VDI NonProd Pool Access,DWomack
DLG SW ENT Adobe Acrobat,DWomack
DLG ENT Outlook 2013 PST ReadOnly,DWomack
DLG ENT VMWare SW Chrome,DWomack
DLG ITB MBX Information Connect,DWomack
DLG ENT VMWare SW MTputty,DWomack
DLG ENT Outlook 2013 Cached,DWomack
DLG ENT VMWare SW SQL Management Studio 2016,DWomack
DLG ENT VMWare SW Filezilla,DWomack
DLG ENT VMWare View Users,DWomack
DLG DMS RemoteDesktop,DWomack
DLG ENT VMWare Console User DMS,DWomack
DLG ENT VMWare NSX Auditor,DWomack
DLG ENT VMWare SW RDP Manager,DWomack
@FP DMS Altiris RLE Express Share,DWomack
G_EDD_TEAM,DWomack
TEAM IIF Library All,DWomack
@DLG ITB Users,DWomack
G-ITB-USERS,DWomack
@DLG DMS PD IIF_ReportGen_Users,DWomack
@DLG SW InfoI-RptGen,DWomack
@DLG ENT RemoteDesktop,DWomack
@DLG GenTax IVPN Users,DWomack
@FP ITB Staff,DWomack
@DLG ITB PSD AO,DWomack
@DLG_IIF_BENIIF_USER,DWomack
@DLG SW TAX InfoImage 7,DWomack
@DLG ITB Y2K ROCITREF,DWomack
@DLG SW VISIO 2003,DWomack
@DLG SW UeWi,DWomack
@DLG ENT ShrPt Read,DWomack
@DLG TAX Software UeWi,DWomack
G-EDD-USERS,DWomack
@DLG ITB Y2K Users,DWomack
@DLG SW Ent Winzip,DWomack
@FP DMS Share,DWomack
@DLG SW ENT HP ITSMA,DWomack
@DLG SW ENT Visio 2010,DWomack
@DLG ITB PSD AO APR,DWomack
@DLG ITB EDD Share,DWomack
@FP ITB PSD VSS,DWomack
@FP DMS Project Team,DWomack
@DLG TAX MBX FSET,DWomack
@FP ENT SMS Shared Resources,DWomack
@FP ITB ISMDLibrary,DWomack
@DLG SW ENT Office 2010,DWomack
@DLG ITB PSD Users,DWomack
@FP ITB PSD Staff,DWomack
@FP ITB ISMDLibPROJ,DWomack
@FP DMS SP IIF INFO,DWomack
@FP DMS SP REMIT INFO,DWomack
@DLG ITB ISD Client Solution Section,DWomack
@DLG DMS PD DMG ICAP Scan2,DWomack
