DGVMIMGUIAPP01,BFE,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,CoreMessagingRegistrar,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,CryptSvc,NT Authority\NetworkService
DGVMIMGUIAPP01,Dhcp,NT Authority\LocalService
DGVMIMGUIAPP01,Dnscache,NT AUTHORITY\NetworkService
DGVMIMGUIAPP01,DPS,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,EventLog,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,EventSystem,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,FontCache,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,iExportDMS(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iExportIIF(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iFaxImport3(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iFaxImport4(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iImageProc(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iNetDisp-5.0,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iPostProc(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iPreQC(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iPurgeDMS(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iPurgeRBE(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,IQUIA(PRE_PROD50),EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iScanXfer(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iStatGen(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iTransBuilder(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,iXmlImport(PRE_PROD50)IQUIA,EDD_DOMAIN\L8DMSIQLVD1SVCPP
DGVMIMGUIAPP01,LanmanWorkstation,NT AUTHORITY\NetworkService
DGVMIMGUIAPP01,lmhosts,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,macmnsvc,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,MpsSvc,NT Authority\LocalService
DGVMIMGUIAPP01,MSDTC,NT AUTHORITY\NetworkService
DGVMIMGUIAPP01,netprofm,NT AUTHORITY\LocalService
DGVMIMGUIAPP01,NlaSvc,NT AUTHORITY\NetworkService
DGVMIMGUIAPP01,nsi,NT Authority\LocalService
